current,query,reaction,next
q1_1,よろしくお願いします。,お待たせしました。,q1_2
q1_1,はい。,お待たせしました。,q1_2
q1_2,です。,ありがとうございます。,q1_3
q1_3,です。,はい、わかりました。よろしくお願いします。,q1_5
q1_5,36度,なるほど、ありがとうございます。,q1_6
q1_5,37度,熱がありますね。,q1_6
q1_5,38度,それはお辛いですね。,q1_6
q1_6,はい。,では、リラックスしてお答えください,q2_1
q1_6,辛いです,わかりました。,q4_1
q2_start,お腹が痛いです。,そうですか、腹痛がするのですね？,q2_fromwhen
q2_start,昨日からお腹が痛いです。,そうですか、昨日から腹痛がするのですね？,q2_when
q2_start,空腹時にお腹が痛いです。,そうですか、空腹時、腹痛がするのですね？,q2_fromwhen
q2_start,昨日から空腹時にお腹が痛いです。,そうですか、腹痛が空腹時に起こるのですね？,q2_when
q2_start,腹痛がします。,そうですか、おなかが痛いのですね？,q2_fromwhen
q2_start,頭が痛いです,そうですか、頭痛がするのですね？,q2_fromwhen
q2_start,頭痛がします。,そうですか、頭が痛いのですね？,q2_fromwhen
q2_fromwhen,昨日の朝からお腹が痛いです。,朝からですね、わかりました。,q2_wherehurt
q2_fromwhen,一週間前ぐらいからです,なるほど、わかりました。,q2_wherehurt
q2_wherehurt,お腹の上,なるほど、わかりました。,q2_howhurt_1
q2_wherehurt,お腹の真ん中,なるほど、わかりました。,q2_howhurt_1
q2_wherehurt,お腹の下,なるほど、わかりました。,q2_howhurt_1
q2_wherehurt,頭の前,なるほど、わかりました。,q2_howhurt_1
q2_wherehurt,頭のてっぺん,なるほど、わかりました。,q2_howhurt_1
q2_wherehurt,頭の後ろ,なるほど、わかりました。,q2_howhurt_1
q2_wherehurt,頭の右,なるほど、わかりました。,q2_howhurt_1
q2_wherehurt,頭の左,なるほど、わかりました。,q2_howhurt_1
q2_howhurt_1,締め付けられるように,なるほど、わかりました。,q2_howhurt_2
q2_howhurt_1,じわじわ痛くなってました。,だんだんと痛みがましたのですね。,q2_howhurt_2
q2_howhurt_2,10,それはお辛いですね。,q2_howhurt_3
q2_howhurt_2,9,それはお辛いですね。,q2_howhurt_3
q2_howhurt_2,7,それはお辛いですね。,q2_howhurt_3
q2_howhurt_2,6,それはお辛いですね。,q2_howhurt_3
q2_howhurt_2,5,それはお辛いですね。,q2_howhurt_3
q2_howhurt_2,4,それはお辛いですね。,q2_howhurt_3
q2_howhurt_2,3,それはお辛いですね。,q2_howhurt_3
