index,utterance,reaction
parrot,頭全体痛い,頭の痛みですね？
parrot,頭全体痛み,頭の痛みですね？
parrot,頭全体痛む,頭の痛みですね？
parrot,頭全体ズキズキする,頭の痛みですね？
parrot,頭全体ジンジンする,頭の痛みですね？
parrot,頭全体痺れる,頭の痛みですね？
parrot,頭全体痺れ,頭の痛みですね？
parrot,頭全体動かない,頭の痛みですね？
parrot,頭全体腫れて,頭の痛みですね？
parrot,頭全体締め付けられる,頭の痛みですね？
parrot,頭全体痛み,頭の痛みですね？
parrot,頭全体痺れ,頭の痛みですね？
parrot,頭全体腫れ,頭の痛みですね？
parrot,頭全体締め付け,頭の痛みですね？
parrot,頭全体違和感,頭の痛みですね？
parrot,頭右痛い,頭の痛みですね？
parrot,頭右痛み,頭の痛みですね？
parrot,頭右痛む,頭の痛みですね？
parrot,頭右ズキズキする,頭の痛みですね？
parrot,頭右ジンジンする,頭の痛みですね？
parrot,頭右痺れる,頭の痛みですね？
parrot,頭右痺れ,頭の痛みですね？
parrot,頭右動かない,頭の痛みですね？
parrot,頭右腫れて,頭の痛みですね？
parrot,頭右締め付けられる,頭の痛みですね？
parrot,頭右痛み,頭の痛みですね？
parrot,頭右痺れ,頭の痛みですね？
parrot,頭右腫れ,頭の痛みですね？
parrot,頭右締め付け,頭の痛みですね？
parrot,頭右違和感,頭の痛みですね？
parrot,頭左痛い,頭の痛みですね？
parrot,頭左痛み,頭の痛みですね？
parrot,頭左痛む,頭の痛みですね？
parrot,頭左ズキズキする,頭の痛みですね？
parrot,頭左ジンジンする,頭の痛みですね？
parrot,頭左痺れる,頭の痛みですね？
parrot,頭左痺れ,頭の痛みですね？
parrot,頭左動かない,頭の痛みですね？
parrot,頭左腫れて,頭の痛みですね？
parrot,頭左締め付けられる,頭の痛みですね？
parrot,頭左痛み,頭の痛みですね？
parrot,頭左痺れ,頭の痛みですね？
parrot,頭左腫れ,頭の痛みですね？
parrot,頭左締め付け,頭の痛みですね？
parrot,頭左違和感,頭の痛みですね？
parrot,頭上痛い,頭の痛みですね？
parrot,頭上痛み,頭の痛みですね？
parrot,頭上痛む,頭の痛みですね？
parrot,頭上ズキズキする,頭の痛みですね？
parrot,頭上ジンジンする,頭の痛みですね？
parrot,頭上痺れる,頭の痛みですね？
parrot,頭上痺れ,頭の痛みですね？
parrot,頭上動かない,頭の痛みですね？
parrot,頭上腫れて,頭の痛みですね？
parrot,頭上締め付けられる,頭の痛みですね？
parrot,頭上痛み,頭の痛みですね？
parrot,頭上痺れ,頭の痛みですね？
parrot,頭上腫れ,頭の痛みですね？
parrot,頭上締め付け,頭の痛みですね？
parrot,頭上違和感,頭の痛みですね？
parrot,頭下痛い,頭の痛みですね？
parrot,頭下痛み,頭の痛みですね？
parrot,頭下痛む,頭の痛みですね？
parrot,頭下ズキズキする,頭の痛みですね？
parrot,頭下ジンジンする,頭の痛みですね？
parrot,頭下痺れる,頭の痛みですね？
parrot,頭下痺れ,頭の痛みですね？
parrot,頭下動かない,頭の痛みですね？
parrot,頭下腫れて,頭の痛みですね？
parrot,頭下締め付けられる,頭の痛みですね？
parrot,頭下痛み,頭の痛みですね？
parrot,頭下痺れ,頭の痛みですね？
parrot,頭下腫れ,頭の痛みですね？
parrot,頭下締め付け,頭の痛みですね？
parrot,頭下違和感,頭の痛みですね？
parrot,あたま全体痛い,頭の痛みですね？
parrot,あたま全体痛み,頭の痛みですね？
parrot,あたま全体痛む,頭の痛みですね？
parrot,あたま全体ズキズキする,頭の痛みですね？
parrot,あたま全体ジンジンする,頭の痛みですね？
parrot,あたま全体痺れる,頭の痛みですね？
parrot,あたま全体痺れ,頭の痛みですね？
parrot,あたま全体動かない,頭の痛みですね？
parrot,あたま全体腫れて,頭の痛みですね？
parrot,あたま全体締め付けられる,頭の痛みですね？
parrot,あたま全体痛み,頭の痛みですね？
parrot,あたま全体痺れ,頭の痛みですね？
parrot,あたま全体腫れ,頭の痛みですね？
parrot,あたま全体締め付け,頭の痛みですね？
parrot,あたま全体違和感,頭の痛みですね？
parrot,あたま右痛い,頭の痛みですね？
parrot,あたま右痛み,頭の痛みですね？
parrot,あたま右痛む,頭の痛みですね？
parrot,あたま右ズキズキする,頭の痛みですね？
parrot,あたま右ジンジンする,頭の痛みですね？
parrot,あたま右痺れる,頭の痛みですね？
parrot,あたま右痺れ,頭の痛みですね？
parrot,あたま右動かない,頭の痛みですね？
