Qno,Qtext
Q1,今日はどうされましたか？
Q2,痛みの強さを5段階で教えてください。1が一番弱いとすると何番目ぐらいの強さですか？
Q3,発熱していますか？
Q4,最近頭を強くぶつけましたか？
Q5,発熱していますか？
Q6,最近頭を強くぶつけましたか？
Q7,高血圧と言われたことがありますか？
Q8,肩こりがひどいですか？
Q9,お腹のどの部分が痛いですか？
Q10,発熱していますか？
Q11,目や皮膚が黄色いと感じますか？
Q12,黒い便が出ますか？
Q13,吐血はありますか？
Q14,最近お腹を強くぶつけましたか？
Q15,発熱していますか？
Q16,便に血がまじっていますか？
Q17,最近お腹を強くぶつけましたか？
Q18,咳が出ますか
Q19,発熱していますか？
Q20,夜間や明け方に咳がひどくなりますか？
Q21,最近胸を強くぶつけましたか？
Q22,運動時に痛みが増しますか？
Q23,排尿時に痛いですか？
Q24,皮膚が痛かったり、かゆかったりしますか？
Q25,胸焼けがしますか？
Q26,発熱していますか？
Q27,発熱していますか？
Q28,タバコを吸っていますか？もしくは吸っていましたか？
Q29,脈が正常ですか？
Q30,言葉が喋りにくいですか？
Q31,じっとしているときに手などが震えますか？
Q32,のどが異常に乾きますか？
Q33,関節が痛いですか？
Q34,発熱していますか？
Q35,胸が痛いですか？
Q36,夜間や明け方に咳がひどくなりますか？
Q37,吐血はありますか？
Q38,胸が痛いですか？
Q39,発熱はありますか？
Q1_exp,他に症状はありますか？
end,ご回答ありがとうございました
end_105,それでは一般内科を受診することをお勧めします。
end_150,それでは一般外科を受診することをお勧めします。
end_106,それでは消化器内科で診療することをお勧めします。
end_152,それでは感染症内科で診察することをお勧めします。
end_108,それでは呼吸器内科で診療することをお勧めします。
end_107,それでは循環器内科で診療することをお勧めします。
end_111,それでは泌尿器科で診療することをお勧めします。
end_116,それでは皮膚科で診療することをお勧めします。
end_151,心配でしたら病院に行って、診療を受けてください。
end_109,それでは脳神経内科で診療することをお勧めします。
end_112,それでは糖尿病内科で診療することをお勧めします。
end_113,それでは膠原病内科で診療することをお勧めします。
