qno,qtext
q1_1,こんにちは。本日お話を伺う対話システムです。よろしくお願いします。
q1_2,それでは確認のために問診を受ける方のお名前を教えていただけますか？
q1_3,おいくつですか？
q1_4,男性ですか？女性ですか？
q1_5,体温は何度でしたか？
q1_6,それではこれからお話を伺っていきます。もし、今のまま、座ってお話しを続けるのが辛いようでしたら遠慮なく仰ってくださいね。
q2_start,本日はどうされましたか？おなかが痛いなどありますか？
q2_fromwhen,症状が現れたのはいつ頃からですか？
q2_wherehurt,どのあたりが痛みますか？下腹部など、なるべく具体的な箇所を教えてください。
q2_howhurt_1,ズキズキとした痛みや重く感じる痛みなどありますが、どのように痛みますか？
q2_howhurt_2,痛みがないのを0、最も痛いのを10とするといくつくらいでしょうか？
q2_howhurt_3,痛みに波はありますか？
q2_trigger_1,どのような時に症状が悪くなる、というのはありますか？
q2_trigger_2,逆に、こうすると症状がよくなる、というのはありますか？
q2_howlong,痛みはどのくらい続きますか？
q2_beforeafter,最初の痛みと比べていかがですか？だんだんひどくなっているとかだんだん和らいできているとか、ありますか？
q2_10,これまでに同じような痛みを感じたことはありますか？
q2_11,ご家族や知人で周りに同じような症状の方はいましたか？
q3_defecation_1,お通じはいかがですか？
q3_defecation_2,便は、普通の便ですか？
q3_defecation_3,下痢は何回ぐらいしましたか？
q3_vomiting_1,むかつきや嘔吐の症状はありますか？
q3_vomiting_2,嘔吐は何回ぐらいしましたか？
q3_food_1,食欲はありますか？
q3_food_2,今朝や昨夜は食べられましたか？
q3_food_3,今朝や昨夜はどんなものを食べましたか？
q3_food_4,食べ物で思い当たることはありますか？
q3_food_5,水分は十分に摂れていますか？
q3_sleep,睡眠はどうですか。この症状が始まってから眠れていますか。
q4_other,他に何らかの症状はありますか？
q4_affect,今の症状で、日常生活にはどのくらい影響がありますか？
q5_check_treatment_1,過去に大きな病気で治療や手術を受けたことはありますか？
q5_check_treatment_2,現在、治療中の病気はありますか？
q5_check_treatment_3,どこかの病院に通院して薬をもらっていますか？
q5_check_treatment_4,何か市販のお薬やサプリメントなどは飲んでおられますか？
q5_check_allergy,食べ物やお薬のことでアレルギーはありませんか？
q5_drink_smoke_1,お酒やたばこはいかがですか？
q5_drink_smoke_2,たばこは1日に何本ぐらい吸われますか？
q5_drink_smoke_3,たばこを吸わないということですが、以前に吸っていた時期はありますか？
q5_drink_smoke_4,その場合、何歳ごろやめましたか？
q5_food,普段の食生活についてはどうですか？
q5_exercise,日頃から運動はよくする方ですか？
q5_job,病状との関連でお聞きしますが、お仕事は何をされていますか？
q6_women_1,今、妊娠中もしくは授乳中ですか？
q6_women_2,一番最近の月経はいつですか？
q6_women_3,月経は規則的にありますか？
q6_women_4,不正出血はありませんか？
q6_women_5,これは基本的に他の患者さんにもお聞きしているのですが、以前、卵巣が腫れているとか卵巣にできものができていると言われたことはありませんか？
q7_family,ご家族で大きな病気をされた方はおられますか？
q7_pet,何かペットを飼っておられますか？
q7_travel,最近海外、特に発展途上国に出かけておられませんか？
closing_1,ほかに心当たりや気になっている点などございますか？
closing_2,この後の検査や治療のことで何か希望などはありますか？
closing_3,以上で診断は終了です。お疲れさまでした。風邪の症状が見られます。内科を受診してみてください。
q2_else,他に何か症状はありますか？また、ご自身はこの症状について、心当たりや気になっている点などございますか？
q4_1,医師を呼びましたので、そのままお待ちください。
q4_2,何か心配なことがあれば遠慮なくおっしゃってくださいね。
q5_1,本日来院された一番の目的をあげるとしたら何ですか？
q5_2,それでは、ほかに何か気になっていることはありますか？何でも仰ってください。
q11_2_1,おなか全体が痛みますか？
q11_2_2,便秘やおなかが張る感じはありますか？
q11_2_3,おなかの手術をしたことがありますか？
q12_1,未設定（憩室炎）
q12_2,おなかの他にわき腹や背中などに痛みはありませんか？
q12_3_1,女性の方には皆さんにお聞きしていますが、おりものは変わりないですか？
q12_3_2,歩くとおなかに響く感じはありますか？
q12_4,痛みの場所がはじめと変わってきましたか？
q12_5,おなかに力を入れたときはっきりとわかるおなかの膨らみはありませんか。
q13_1_1,便に血が混じっていませんか？便が赤いとか、黒いということはありませんか？
q13_1_2,米のとぎ汁のような白い便が出ていませんか？
q13_1_3,最近、何かで抗生剤や抗菌薬を飲んだことはありますか？
q13_1_4,なにか基礎疾患をお持ちですか？
q13_2,おなかの痛みに加えて食後の胃もたれや食後にすぐお腹が一杯になるなどの症状はありますか？
q13_3,これまでに輸血したことはありますか？
q13_4,便が出にくかったり、おなかが張っていたりすることはありますか？
q13_5_1,食後にみぞおちの痛み以外に右の肋骨の下の部分や右肩に拡がる痛みがありませんか？
q13_5_2,最近、目の色が黄色くなったと言われることはありますか？
q14_1,この1ヶ月の間、気持ちが沈み込んだり憂うつな気分になったりすることがよくありましたか？
q14_2,この1ヵ月の間、どうも物事に対して興味がわかないあるいは心から楽しめない感じがよくありましたか？
q0_1,そのお話しは、この後の診察で担当の医師にお伝えください。
q0_2,その質問は、この後の診察で担当の医師にお伝えください。
q0_3,ゆっくり、ハッキリとお話ください.
q0_4,もう一度よろしいですか？
q0_5,我慢できますか？
q0_6,すぐに医師をお呼びしたほうがいいですか？
q0_7,わかりました。しばらくお待ちください。
q0_8,担当の医師をお呼びします。少々お待ちください。
q0_9,スタッフをお呼びします。少々お待ちください。
q0_10,今回の問診はいかがでしたか？このシステムについてご意見があれば、仰ってください。参考にさせていただきます。それではお願いします。
q6_2,今回の症状のことで何か薬を飲みましたか？
q6_3,今回のことで別の病院にかかられましたか？
q5_6,最近、健康診断を含めて他に何か生活習慣病を指摘されたことはありませんか？
